"","date","hits","keyword","geo","gprop","category"
"354",2014-01-04 23:00:00,3,"children games","GB","web",0
"355",2014-01-11 23:00:00,3,"children games","GB","web",0
"356",2014-01-18 23:00:00,3,"children games","GB","web",0
"357",2014-01-25 23:00:00,3,"children games","GB","web",0
"358",2014-02-01 23:00:00,3,"children games","GB","web",0
"359",2014-02-08 23:00:00,3,"children games","GB","web",0
"360",2014-02-15 23:00:00,2,"children games","GB","web",0
"361",2014-02-22 23:00:00,3,"children games","GB","web",0
"362",2014-03-01 23:00:00,3,"children games","GB","web",0
"363",2014-03-08 23:00:00,3,"children games","GB","web",0
"364",2014-03-15 23:00:00,3,"children games","GB","web",0
"365",2014-03-22 23:00:00,2,"children games","GB","web",0
"366",2014-03-29 23:00:00,2,"children games","GB","web",0
"367",2014-04-05 22:00:00,2,"children games","GB","web",0
"368",2014-04-12 22:00:00,2,"children games","GB","web",0
"369",2014-04-19 22:00:00,2,"children games","GB","web",0
"370",2014-04-26 22:00:00,3,"children games","GB","web",0
"371",2014-05-03 22:00:00,3,"children games","GB","web",0
"372",2014-05-10 22:00:00,3,"children games","GB","web",0
"373",2014-05-17 22:00:00,2,"children games","GB","web",0
"374",2014-05-24 22:00:00,2,"children games","GB","web",0
"375",2014-05-31 22:00:00,3,"children games","GB","web",0
"376",2014-06-07 22:00:00,2,"children games","GB","web",0
"377",2014-06-14 22:00:00,2,"children games","GB","web",0
"378",2014-06-21 22:00:00,2,"children games","GB","web",0
"379",2014-06-28 22:00:00,2,"children games","GB","web",0
"380",2014-07-05 22:00:00,2,"children games","GB","web",0
"381",2014-07-12 22:00:00,2,"children games","GB","web",0
"382",2014-07-19 22:00:00,3,"children games","GB","web",0
"383",2014-07-26 22:00:00,2,"children games","GB","web",0
"384",2014-08-02 22:00:00,2,"children games","GB","web",0
"385",2014-08-09 22:00:00,2,"children games","GB","web",0
"386",2014-08-16 22:00:00,1,"children games","GB","web",0
"387",2014-08-23 22:00:00,2,"children games","GB","web",0
"388",2014-08-30 22:00:00,2,"children games","GB","web",0
"389",2014-09-06 22:00:00,2,"children games","GB","web",0
"390",2014-09-13 22:00:00,2,"children games","GB","web",0
"391",2014-09-20 22:00:00,3,"children games","GB","web",0
"392",2014-09-27 22:00:00,3,"children games","GB","web",0
"393",2014-10-04 22:00:00,3,"children games","GB","web",0
"394",2014-10-11 22:00:00,3,"children games","GB","web",0
"395",2014-10-18 22:00:00,3,"children games","GB","web",0
"396",2014-10-25 22:00:00,3,"children games","GB","web",0
"397",2014-11-01 23:00:00,3,"children games","GB","web",0
"398",2014-11-08 23:00:00,5,"children games","GB","web",0
"399",2014-11-15 23:00:00,3,"children games","GB","web",0
"400",2014-11-22 23:00:00,3,"children games","GB","web",0
"401",2014-11-29 23:00:00,3,"children games","GB","web",0
"402",2014-12-06 23:00:00,3,"children games","GB","web",0
"403",2014-12-13 23:00:00,3,"children games","GB","web",0
"404",2014-12-20 23:00:00,2,"children games","GB","web",0
"405",2014-12-27 23:00:00,2,"children games","GB","web",0
"406",2015-01-03 23:00:00,3,"children games","GB","web",0
"407",2015-01-10 23:00:00,3,"children games","GB","web",0
"408",2015-01-17 23:00:00,3,"children games","GB","web",0
"409",2015-01-24 23:00:00,3,"children games","GB","web",0
"410",2015-01-31 23:00:00,2,"children games","GB","web",0
"411",2015-02-07 23:00:00,2,"children games","GB","web",0
"412",2015-02-14 23:00:00,2,"children games","GB","web",0
"413",2015-02-21 23:00:00,3,"children games","GB","web",0
"414",2015-02-28 23:00:00,3,"children games","GB","web",0
"415",2015-03-07 23:00:00,2,"children games","GB","web",0
"416",2015-03-14 23:00:00,2,"children games","GB","web",0
"417",2015-03-21 23:00:00,2,"children games","GB","web",0
"418",2015-03-28 23:00:00,2,"children games","GB","web",0
"419",2015-04-04 22:00:00,2,"children games","GB","web",0
"420",2015-04-11 22:00:00,2,"children games","GB","web",0
"421",2015-04-18 22:00:00,2,"children games","GB","web",0
"422",2015-04-25 22:00:00,2,"children games","GB","web",0
"423",2015-05-02 22:00:00,2,"children games","GB","web",0
"424",2015-05-09 22:00:00,2,"children games","GB","web",0
"425",2015-05-16 22:00:00,2,"children games","GB","web",0
"426",2015-05-23 22:00:00,2,"children games","GB","web",0
