"i","date","hits","keyword","geo","gprop","category"
2,2014-06-14 22:00:00,2,"Amnesty International","GB","web",0
2,2014-06-21 22:00:00,2,"Amnesty International","GB","web",0
2,2014-06-28 22:00:00,2,"Amnesty International","GB","web",0
2,2014-07-05 22:00:00,2,"Amnesty International","GB","web",0
2,2014-07-12 22:00:00,2,"Amnesty International","GB","web",0
2,2014-07-19 22:00:00,2,"Amnesty International","GB","web",0
2,2014-07-26 22:00:00,1,"Amnesty International","GB","web",0
2,2014-08-02 22:00:00,1,"Amnesty International","GB","web",0
2,2014-08-09 22:00:00,1,"Amnesty International","GB","web",0
2,2014-08-16 22:00:00,1,"Amnesty International","GB","web",0
2,2014-08-23 22:00:00,1,"Amnesty International","GB","web",0
2,2014-08-30 22:00:00,2,"Amnesty International","GB","web",0
2,2014-09-06 22:00:00,2,"Amnesty International","GB","web",0
2,2014-09-13 22:00:00,2,"Amnesty International","GB","web",0
2,2014-09-20 22:00:00,2,"Amnesty International","GB","web",0
2,2014-09-27 22:00:00,2,"Amnesty International","GB","web",0
2,2014-10-04 22:00:00,2,"Amnesty International","GB","web",0
2,2014-10-11 22:00:00,3,"Amnesty International","GB","web",0
2,2014-10-18 22:00:00,2,"Amnesty International","GB","web",0
2,2014-10-25 22:00:00,2,"Amnesty International","GB","web",0
2,2014-11-01 23:00:00,2,"Amnesty International","GB","web",0
2,2014-11-08 23:00:00,3,"Amnesty International","GB","web",0
2,2014-11-15 23:00:00,2,"Amnesty International","GB","web",0
2,2014-11-22 23:00:00,3,"Amnesty International","GB","web",0
2,2014-11-29 23:00:00,2,"Amnesty International","GB","web",0
2,2014-12-06 23:00:00,3,"Amnesty International","GB","web",0
2,2014-12-13 23:00:00,2,"Amnesty International","GB","web",0
2,2014-12-20 23:00:00,1,"Amnesty International","GB","web",0
2,2014-12-27 23:00:00,1,"Amnesty International","GB","web",0
2,2015-01-03 23:00:00,2,"Amnesty International","GB","web",0
2,2015-01-10 23:00:00,3,"Amnesty International","GB","web",0
2,2015-01-17 23:00:00,2,"Amnesty International","GB","web",0
